Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C3","20n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",150.5100,-102.8000,0.0000,top
"C4","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.5100,-99.9000,180.0000,top
"C5","150n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",159.2475,-87.5000,0.0000,top
"C6","47n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",155.3100,-87.5000,180.0000,top
"C7","51p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.8100,-91.8000,90.0000,top
"C8","220n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.6100,-97.3000,0.0000,top
"C9","220n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.3100,-67.7000,180.0000,top
"C11","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.8100,-97.3000,90.0000,top
"C12","220n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.6100,-97.6000,180.0000,top
"C14","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.3100,-100.8000,180.0000,top
"C15","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.2100,-104.8000,0.0000,top
"D2","BAT41","D_SOD-123F",158.7100,-95.3000,180.0000,top
"D4","1N914","D_SOD-123F",145.9100,-86.4000,180.0000,top
"D5","1N914","D_SOD-123F",145.9100,-88.8000,0.0000,top
"Q2","2N7002","SOT-23",162.8600,-94.3375,-90.0000,top
"Q5","2N7002","SOT-23",162.9100,-90.4000,90.0000,top
"R4","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.6100,-105.8000,90.0000,top
"R5","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.6100,-105.8000,90.0000,top
"R6","510k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.5100,-108.7000,0.0000,top
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.6100,-101.9000,180.0000,top
"R8","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.5100,-84.5000,90.0000,top
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.5100,-100.7000,180.0000,top
"R10","51k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.5100,-87.2000,-90.0000,top
"R11","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.6100,-94.4000,-90.0000,top
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",137.8100,-101.0000,-90.0000,top
"R13","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.3100,-65.5000,0.0000,top
"R14","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.3100,-99.0000,0.0000,top
"R15","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.1100,-106.5000,0.0000,top
"R16","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.1100,-104.5000,0.0000,top
"R17","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.8100,-93.5000,90.0000,top
"R18","510k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.3100,-102.8000,0.0000,top
"R19","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.3100,-106.9000,180.0000,top
"R20","47R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.0100,-105.5000,-90.0000,top
"R21","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.3100,-104.8000,0.0000,top
"R22","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.2100,-106.9000,0.0000,top
"U1","RC4558","SO-8_3.9x4.9mm_P1.27mm",143.8100,-93.9000,-90.0000,top
