"Comment","Designator","Footprint","LCSC Part #"
"5pF","C6","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"51pF","C16","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"560pF","C11","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"1nF","C23","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"8n2","C4","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"10nF","C8,C21,C22","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"27nF","C7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"82nF","C18,C19","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"100nF","C9,C14,C15,C17,C24","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"1uF","C5,C20,C25","CP_Radial_D5.0mm_P2.50mm",""
"1uF","C26","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"V+ GND","J1,J4","PinHeader_1x02_P2.54mm_Vertical",""
"OVGI","JOVGI1,JOVGI2","Pin_Header_Straight_1x04_Pitch2.54mm",""
"Housing","N1","1590B",""
"1k","R15,R16","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"1K","R2","Resistor_Horizontal_RM7mm",""
"2k7","R24","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"12K","R4,R5,R9,R10,R11,R19,R21,R22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"15K","R18","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"24K","R13,R17,R23","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"33K","R14","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"47K","R12","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"100K","R20","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"510K","R6,R7,R8","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"1M","R1,R3","Resistor_Horizontal_RM7mm",""
"25KB","RV2","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"50KB","RV1","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"100KB","RV3","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"L78L05_SOT89","U2","SOT-89-3",""
"PT2399","U3","SOIC-16_3.9x9.9mm_P1.27mm",""
"TL072","U1","SOIC-8_3.9x4.9mm_P1.27mm",""
