Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C4","8n2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",165.3100,-106.8000,0.0000,top
"C5","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",168.2100,-89.5000,180.0000,top
"C6","5pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",167.7660,-95.5650,90.0000,top
"C7","27nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",161.7100,-86.5000,-90.0000,top
"C8","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.4100,-86.5000,-90.0000,top
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.5100,-80.9000,-90.0000,top
"C11","560pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.3100,-87.5000,180.0000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.0100,-80.6000,-90.0000,top
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.7100,-80.6000,-90.0000,top
"C16","51pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.8660,-94.8025,-90.0000,top
"C17","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",159.6100,-86.5000,90.0000,top
"C18","82nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.4100,-85.8000,90.0000,top
"C19","82nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.4100,-89.7000,-90.0000,top
"C20","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.7310,-100.8300,-90.0000,top
"C21","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.4100,-93.1000,0.0000,top
"C22","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.9100,-98.1000,90.0000,top
"C23","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.6100,-92.9000,-90.0000,top
"C24","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.8100,-98.2000,90.0000,top
"C25","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.5100,-74.0000,180.0000,top
"C26","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",168.2100,-66.5625,-90.0000,top
"R4","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.6100,-104.5000,0.0000,top
"R5","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.7100,-104.6000,0.0000,top
"R6","510K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.6660,-98.5650,180.0000,top
"R7","510K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.8660,-101.1650,90.0000,top
"R8","510K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.6660,-95.5650,90.0000,top
"R9","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",164.3100,-89.5000,180.0000,top
"R10","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.4100,-89.5000,180.0000,top
"R11","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.5100,-89.5000,180.0000,top
"R12","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.1100,-91.4000,180.0000,top
"R13","24K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.7100,-92.6000,180.0000,top
"R14","33K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.8660,-95.7650,0.0000,top
"R15","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.6100,-82.6000,180.0000,top
"R16","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.8660,-101.1650,90.0000,top
"R17","24K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.8660,-97.7650,180.0000,top
"R18","15K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.5100,-76.1000,180.0000,top
"R19","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.7100,-92.3000,-90.0000,top
"R20","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.7660,-101.1650,-90.0000,top
"R21","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",145.9100,-95.3000,0.0000,top
"R22","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.8100,-92.3000,90.0000,top
"R23","24K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.9100,-94.3000,90.0000,top
"R24","2k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.8100,-97.3000,0.0000,top
"U1","TL072","SOIC-8_3.9x4.9mm_P1.27mm",160.8160,-96.3650,0.0000,top
"U2","L78L05_SOT89","SOT-89-3",165.3100,-78.0000,90.0000,top
"U3","PT2399","SOIC-16_3.9x9.9mm_P1.27mm",146.9100,-86.6000,-90.0000,top
