Designator,Mid X,Mid Y,Rotation,Layer
C11,132.81,-97.3,90.0,top
C12,158.61,-97.6,180.0,top
C14,131.31,-100.8,180.0,top
C15,135.21,-104.8,0.0,top
C3,150.51,-102.8,0.0,top
C4,154.51,-99.9,180.0,top
C5,159.2475,-87.5,0.0,top
C6,155.31,-87.5,180.0,top
C7,158.81,-91.8,90.0,top
C8,136.61,-97.3,0.0,top
C9,134.31,-67.7,180.0,top
D2,158.71,-95.3,180.0,top
D4,145.91,-86.4,180.0,top
D5,145.91,-88.8,0.0,top
DRIVE1,160.51,-60.05,0.0,bottom
LOW1,160.51,-95.654168,180.0,bottom
Q2,162.86,-94.3375,270.0,top
Q5,162.91,-90.4,90.0,top
R10,150.51,-87.2,270.0,top
R11,138.61,-94.4,270.0,top
R12,137.81,-101.0,270.0,top
R13,134.31,-65.5,0.0,top
R14,143.31,-99.0,0.0,top
R15,120.11,-106.5,0.0,top
R16,120.11,-104.5,0.0,top
R17,132.81,-93.5,90.0,top
R18,131.31,-102.8,0.0,top
R19,131.31,-106.9,180.0,top
R20,123.01,-105.5,270.0,top
R21,131.31,-104.8,0.0,top
R22,135.21,-106.9,0.0,top
R4,149.61,-105.8,90.0,top
R5,151.61,-105.8,90.0,top
R6,152.51,-108.7,0.0,top
R7,156.61,-101.9,180.0,top
R8,152.51,-84.5,90.0,top
R9,150.51,-100.7,180.0,top
SW1,143.25,-142.525,180.0,top
TONE1,125.01,-59.945832,0.0,bottom
U1,143.81,-93.9,270.0,top
VOL1,125.01,-95.904168,180.0,bottom
